Run,File_name,AGE,Assay.Type,Genotype,chip_antibody,tissue_type,genome_build,bam_url,bai_url,bw_url
SRR4252948,ChIP_INPUT_P_14_22,P_14_22,ChIP,WT,INPUT,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/INPUT/ChIP_INPUT_P_14_22.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/INPUT/ChIP_INPUT_P_14_22.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_INPUT_P_14_22.bw
SRR4252658,ChIP_BRD4_P_21_1,P_21_1,ChIP,WT,BRD4,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/BRD4/ChIP_BRD4_P_21_1.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/BRD4/ChIP_BRD4_P_21_1.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_BRD4_P_21_1.bw
SRR4252683,ChIP_CTCF_P_21_2,P_21_2,ChIP,WT,CTCF,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_P_21_2.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_P_21_2.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_CTCF_P_21_2.bw
SRR4252684,ChIP_CTCF_P_21_3,P_21_3,ChIP,WT,CTCF,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_P_21_3.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_P_21_3.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_CTCF_P_21_3.bw
SRR4252685,ChIP_CTCF_P_21_4,P_21_4,ChIP,WT,CTCF,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_P_21_4.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/CTCF/ChIP_CTCF_P_21_4.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_CTCF_P_21_4.bw
SRR4252712,ChIP_H3K27Ac_P_21_5,P_21_5,ChIP,WT,H3K27Ac,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27Ac/ChIP_H3K27Ac_P_21_5.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27Ac/ChIP_H3K27Ac_P_21_5.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27Ac_P_21_5.bw
SRR4252713,ChIP_H3K27Ac_P_21_6,P_21_6,ChIP,WT,H3K27Ac,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27Ac/ChIP_H3K27Ac_P_21_6.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27Ac/ChIP_H3K27Ac_P_21_6.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27Ac_P_21_6.bw
SRR4252740,ChIP_H3K27me3_P_21_7,P_21_7,ChIP,WT,H3K27me3,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_P_21_7.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_P_21_7.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27me3_P_21_7.bw
SRR4252741,ChIP_H3K27me3_P_21_8,P_21_8,ChIP,WT,H3K27me3,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_P_21_8.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K27me3/ChIP_H3K27me3_P_21_8.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K27me3_P_21_8.bw
SRR4252770,ChIP_H3K36me3_P_21_9,P_21_9,ChIP,WT,H3K36me3,retina,mm10,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K36me3/ChIP_H3K36me3_P_21_9.bam,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bam/H3K36me3/ChIP_H3K36me3_P_21_9.bam.bai,https://aldiri-2017-retina-epigenome.s3.us-east-2.amazonaws.com/ChIP/bigwig/ChIP_H3K36me3_P_21_9.bw
